Month,Revival
2004-01,20
2004-02,20
2004-03,20
2004-04,21
2004-05,23
2004-06,21
2004-07,21
2004-08,21
2004-09,20
2004-10,20
2004-11,20
2004-12,18
2005-01,19
2005-02,21
2005-03,20
2005-04,21
2005-05,22
2005-06,20
2005-07,18
2005-08,18
2005-09,21
2005-10,20
2005-11,19
2005-12,18
2006-01,19
2006-02,20
2006-03,20
2006-04,21
2006-05,18
2006-06,17
2006-07,19
2006-08,19
2006-09,18
2006-10,17
2006-11,17
2006-12,15
2007-01,18
2007-02,20
2007-03,22
2007-04,20
2007-05,18
2007-06,18
2007-07,19
2007-08,17
2007-09,18
2007-10,19
2007-11,17
2007-12,17
2008-01,18
2008-02,19
2008-03,18
2008-04,21
2008-05,35
2008-06,25
2008-07,22
2008-08,20
2008-09,18
2008-10,17
2008-11,16
2008-12,17
2009-01,16
2009-02,17
2009-03,18
2009-04,16
2009-05,16
2009-06,17
2009-07,16
2009-08,16
2009-09,16
2009-10,16
2009-11,16
2009-12,14
2010-01,16
2010-02,18
2010-03,17
2010-04,18
2010-05,18
2010-06,16
2010-07,15
2010-08,15
2010-09,17
2010-10,16
2010-11,16
2010-12,15
2011-01,18
2011-02,20
2011-03,24
2011-04,26
2011-05,21
2011-06,20
2011-07,20
2011-08,20
2011-09,19
2011-10,19
2011-11,18
2011-12,18
2012-01,21
2012-02,20
2012-03,21
2012-04,21
2012-05,20
2012-06,18
2012-07,19
2012-08,20
2012-09,21
2012-10,20
2012-11,18
2012-12,18
2013-01,19
2013-02,20
2013-03,20
2013-04,20
2013-05,20
2013-06,19
2013-07,19
2013-08,20
2013-09,19
2013-10,18
2013-11,20
2013-12,18
2014-01,20
2014-02,20
2014-03,20
2014-04,21
2014-05,20
2014-06,20
2014-07,20
2014-08,19
2014-09,21
2014-10,21
2014-11,24
2014-12,22
2015-01,23
2015-02,23
2015-03,30
2015-04,42
2015-05,40
2015-06,37
2015-07,38
2015-08,48
2015-09,29
2015-10,37
2015-11,25
2015-12,25
2016-01,25
2016-02,27
2016-03,27
2016-04,30
2016-05,31
2016-06,29
2016-07,31
2016-08,30
2016-09,30
2016-10,28
2016-11,31
2016-12,27
2017-01,24
2017-02,24
2017-03,23
2017-04,26
2017-05,25
2017-06,23
2017-07,26
2017-08,23
2017-09,21
2017-10,24
2017-11,37
2017-12,56
2018-01,28
2018-02,25
2018-03,26
2018-04,26
2018-05,23
2018-06,23
2018-07,24
2018-08,23
2018-09,25
2018-10,22
2018-11,21
2018-12,21
2019-01,22
2019-02,23
2019-03,23
2019-04,22
2019-05,23
2019-06,23
2019-07,22
2019-08,22
2019-09,22
2019-10,22
2019-11,23
2019-12,21
2020-01,22
2020-02,24
2020-03,20
2020-04,24
2020-05,21
2020-06,21
2020-07,21
2020-08,20
2020-09,21
2020-10,20
2020-11,19
2020-12,19
2021-01,21
2021-02,21
2021-03,22
2021-04,23
2021-05,23
2021-06,23
2021-07,23
2021-08,21
2021-09,22
2021-10,22
2021-11,22
2021-12,22
2022-01,25
2022-02,26
2022-03,25
2022-04,25
2022-05,25
2022-06,25
2022-07,26
2022-08,26
2022-09,27
2022-10,26
2022-11,37
2022-12,25
2023-01,30
2023-02,100
2023-03,36
2023-04,27
2023-05,28
2023-06,29
2023-07,28
2023-08,30
2023-09,30
2023-10,30
2023-11,30
2023-12,28
2024-01,31
2024-02,31
2024-03,30
2024-04,31
2024-05,31
2024-06,34
2024-07,32
2024-08,36
2024-09,37
2024-10,33
2024-11,33
2024-12,32
2025-01,34
2025-02,32
2025-03,31
2025-04,33
2025-05,40
2025-06,58
2025-07,46
2025-08,44
2025-09,41
2025-10,38
2025-11,40
2025-12,49