Month,Sequel
2004-01,44
2004-02,39
2004-03,39
2004-04,35
2004-05,34
2004-06,38
2004-07,40
2004-08,38
2004-09,39
2004-10,36
2004-11,41
2004-12,33
2005-01,42
2005-02,36
2005-03,36
2005-04,33
2005-05,36
2005-06,53
2005-07,53
2005-08,43
2005-09,33
2005-10,44
2005-11,37
2005-12,45
2006-01,44
2006-02,39
2006-03,37
2006-04,37
2006-05,37
2006-06,41
2006-07,49
2006-08,40
2006-09,33
2006-10,38
2006-11,35
2006-12,38
2007-01,39
2007-02,34
2007-03,35
2007-04,35
2007-05,40
2007-06,40
2007-07,45
2007-08,40
2007-09,38
2007-10,41
2007-11,37
2007-12,42
2008-01,47
2008-02,38
2008-03,39
2008-04,38
2008-05,49
2008-06,45
2008-07,68
2008-08,47
2008-09,43
2008-10,41
2008-11,41
2008-12,56
2009-01,52
2009-02,44
2009-03,41
2009-04,45
2009-05,55
2009-06,60
2009-07,50
2009-08,60
2009-09,46
2009-10,45
2009-11,49
2009-12,63
2010-01,67
2010-02,58
2010-03,57
2010-04,52
2010-05,62
2010-06,59
2010-07,62
2010-08,52
2010-09,48
2010-10,50
2010-11,50
2010-12,56
2011-01,65
2011-02,62
2011-03,57
2011-04,58
2011-05,69
2011-06,78
2011-07,70
2011-08,69
2011-09,55
2011-10,64
2011-11,54
2011-12,62
2012-01,69
2012-02,63
2012-03,74
2012-04,76
2012-05,74
2012-06,78
2012-07,95
2012-08,73
2012-09,65
2012-10,58
2012-11,80
2012-12,77
2013-01,76
2013-02,62
2013-03,62
2013-04,69
2013-05,58
2013-06,76
2013-07,78
2013-08,70
2013-09,59
2013-10,54
2013-11,60
2013-12,65
2014-01,67
2014-02,58
2014-03,62
2014-04,64
2014-05,63
2014-06,62
2014-07,66
2014-08,65
2014-09,52
2014-10,53
2014-11,59
2014-12,62
2015-01,64
2015-02,75
2015-03,69
2015-04,58
2015-05,62
2015-06,64
2015-07,66
2015-08,66
2015-09,54
2015-10,51
2015-11,52
2015-12,61
2016-01,58
2016-02,53
2016-03,52
2016-04,51
2016-05,56
2016-06,61
2016-07,56
2016-08,51
2016-09,48
2016-10,45
2016-11,52
2016-12,58
2017-01,62
2017-02,61
2017-03,64
2017-04,66
2017-05,67
2017-06,64
2017-07,66
2017-08,58
2017-09,56
2017-10,54
2017-11,53
2017-12,59
2018-01,62
2018-02,60
2018-03,66
2018-04,59
2018-05,60
2018-06,64
2018-07,68
2018-08,57
2018-09,56
2018-10,52
2018-11,59
2018-12,73
2019-01,80
2019-02,63
2019-03,62
2019-04,57
2019-05,58
2019-06,79
2019-07,68
2019-08,62
2019-09,58
2019-10,72
2019-11,63
2019-12,68
2020-01,71
2020-02,66
2020-03,63
2020-04,70
2020-05,73
2020-06,80
2020-07,78
2020-08,64
2020-09,62
2020-10,69
2020-11,60
2020-12,66
2021-01,68
2021-02,63
2021-03,60
2021-04,61
2021-05,58
2021-06,57
2021-07,58
2021-08,58
2021-09,49
2021-10,64
2021-11,52
2021-12,51
2022-01,67
2022-02,63
2022-03,65
2022-04,64
2022-05,66
2022-06,74
2022-07,66
2022-08,68
2022-09,60
2022-10,71
2022-11,63
2022-12,77
2023-01,72
2023-02,63
2023-03,71
2023-04,68
2023-05,71
2023-06,80
2023-07,72
2023-08,65
2023-09,64
2023-10,71
2023-11,73
2023-12,74
2024-01,70
2024-02,64
2024-03,66
2024-04,90
2024-05,65
2024-06,70
2024-07,78
2024-08,68
2024-09,93
2024-10,69
2024-11,69
2024-12,76
2025-01,66
2025-02,67
2025-03,64
2025-04,65
2025-05,69
2025-06,86
2025-07,100
2025-08,81
2025-09,80
2025-10,78
2025-11,84
2025-12,73